1.097	5.984999999999999	t
6.276	12.326999999999998	s
12.404	21.557000000000002	t
22.001	24.628	s
24.787	38.226	t
43.292	56.518	t
61.533	71.666	t
72.452	97.626	s
99.065	105.657	t
110.285	111.887	t
112.331	113.10600000000001	s
113.474	124.634	t
124.634	126.31400000000001	s
126.314	127.454	t
131.061	137.08700000000002	s
137.679	148.88299999999998	t
152.73	178.369	t
180.946	187.237	s
187.436	192.013	t
193.089	210.656	s
211.478	216.565	t
217.274	218.325	s
218.422	222.585	t
222.948	223.871	s
223.973	224.519	t
229.494	243.774	t
243.774	245.454	s
245.454	264.607	t
276.215	294.782	s
295.563	301.762	t
302.042	302.63399999999996	s
302.742	318.51800000000003	t
330.579	351.065	s
352.203	353.575	t
353.744	354.386	s
354.417	373.964	t
377.698	378.5385	t
378.5385	379.738	s
379.738	380.816	t
382.219	397.286	s
398.531	399.60200000000003	t
400.98	408.894	s
410.292	413.909	t
414.271	416.726	s
416.787	471.998	t
476.519	484.63100000000003	s
485.254	492.264	t
495.759	507.622	t
508.142	511.862	s
511.862	515.3720000000001	t
515.398	517.306	s
517.326	519.126	t
519.126	614.728	s
615.738	618.7385	t
618.7385	620.659	s
620.659	623.489	t
627.081	635.015	s
637.331	639.816	t
639.908	640.418	s
640.495	642.219	t
643.234	646.918	s
647.413	658.245	t
658.766	659.271	s
659.398	664.746	t
665.96	675.6080000000001	s
675.884	682.241	t
683.119	695.4300000000001	s
696.048	716.503	t
718.794	721.447	s
725.763	733.323	t
733.323	735.0029999999999	s
735.003	741.667	t
742.325	743.754	s
745.254	747.351	t
747.545	749.116	s
750.754	752.82	t
753.019	754.443	s
755.157	757.1270000000001	t
757.208	758.882	s
759.535	764.5659999999999	t
765.75	766.908	s
767.045	786.602	t
787.199	788.322	s
788.587	791.6179999999999	t
792.475	793.924	s
794.541	795.047	t
796.184	797.144	s
797.358	804.6229999999999	t
812.369	813.69	t
837.303	864.978	t
869.585	870.6650000000001	t
870.665	872.105	s
872.105	877.453	t
881.387	882.933	t
883.729	895.5	s
896.464	902.556	t
906.832	909.474	t
912.929	919.23	t
944.726	945.022	t
997.269	1008.305	t
1029.153	1041.7530000000002	s
1041.753	1042.953	t
1042.953	1086.113	s
1086.113	1091.982	t
1095.477	1096.303	t
1098.181	1123.855	s
1125.417	1131.2379999999998	t
1131.626	1132.749	s
1132.902	1137.642	t
1140.055	1143.672	s
1144.305	1150.117	t
1151.826	1159.872	s
1161.561	1171.041	t
1171.041	1172.961	s
1172.961	1183.46	t
1185.45	1194.46	s
1195.996	1196.69	t
1197.639	1203.808	s
1205.17	1207.4	t
1209.798	1211.037	s
1213.4	1215.298	t
1215.976	1223.6960000000001	s
1224.64	1230.931	t
1234.554	1241.8400000000001	s
1243.13	1252.345	t
1253.932	1268.427	s
1272.019	1274.299	t
1274.299	1275.259	s
1275.259	1276.77	t
1277.295	1281.015	s
1282.02	1285.2649999999999	t
1285.566	1290.204	s
1291.342	1312.71	t
1314.531	1320.547	s
1321.322	1344.364	t
1363.416	1375.003	t
1383.116	1394.759	t
1395.958	1400.3970000000002	s
1400.458	1401.866	t
1402.331	1438.495	s
1438.735	1440.215	t
1441.378	1450.1899999999998	s
1450.715	1459.292	t
1460.241	1466.3029999999999	s
1466.889	1473.456	t
1474.415	1481.864	s
1482.426	1485.462	t
1486.65	1492.901	s
1494.186	1499.826	t
1499.826	1500.306	s
1500.306	1517.953	t
1521.325	1522.238	t
1526.662	1527.325	t
1527.861	1531.785	s
1532.407	1536.6879999999999	t
1537.979	1542.494	s
1542.663	1543.255	t
1543.413	1545.433	s
1546.0	1576.0980000000002	t
1579.924	1586.221	t
1589.772	1590.1699999999998	t
1595.95	1601.563	s
1602.058	1606.012	t
1607.431	1615.798	s
1616.094	1627.8400000000001	t
1628.697	1644.4009999999998	s
1646.294	1670.5500000000002	t
1671.193	1673.367	s
1673.387	1677.03	t
1677.132	1679.342	s
1679.413	1684.066	t
1687.811	1693.3829999999998	t
1694.332	1703.883	s
1703.965	1721.165	t
1721.91	1751.605	s
1752.441	1782.162	t
1795.805	1827.24	t
1827.827	1828.266	s
1828.317	1834.863	t
1836.246	1851.971	s
1852.16	1862.405	t
1862.441	1892.972	s
1893.539	1896.013	t
1896.172	1904.345	s
1904.616	1910.667	t
1911.881	1944.641	s
1944.641	1946.189	t
1946.286	2033.0459999999998	s
2033.046	2036.646	t
2036.646	2098.43	s
2098.45	2100.0099999999998	t
2100.01	2132.8900000000003	s
2132.89	2135.5299999999997	t
2135.53	2139.3700000000003	s
2139.37	2148.013	t
2148.146	2151.049	s
2151.11	2152.19	t
2152.19	2153.15	s
2153.15	2157.218	t
2157.314	2166.3709999999996	s
2166.437	2170.672	t
2171.738	2265.8599999999997	s
2273.421	2287.243	s
2288.233	2294.7180000000003	t
2299.738	2303.458	s
2303.458	2304.178	t
2304.178	2317.428	s
2318.163	2333.612	t
2334.02	2350.4139999999998	s
2351.123	2360.251	t
2364.731	2365.811	t
2365.811	2366.291	s
2366.291	2377.838	t
2385.767	2386.721	t
2392.4	2416.04	s
2416.04	2418.253	t
2418.468	2438.259	s
2441.673	2499.103	s
2499.277	2504.338	t
